127.0.0.1 - - [28/Sep/2018:14:32:53 +0900] "GET / HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [28/Sep/2018:14:32:56 +0900] "GET /bioral/ HTTP/1.1" 200 167
0:0:0:0:0:0:0:1 - - [28/Sep/2018:14:33:01 +0900] "GET /bioral/HomeAction HTTP/1.1" 200 7560
0:0:0:0:0:0:0:1 - - [28/Sep/2018:14:33:01 +0900] "GET /bioral/css/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2018:14:33:01 +0900] "GET /bioral/css/header.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2018:14:33:01 +0900] "GET /bioral/icon/sironuki.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2018:14:33:01 +0900] "GET /bioral/png/close.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2018:14:33:01 +0900] "GET /bioral/png/01.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2018:14:33:01 +0900] "GET /bioral/js/header.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2018:14:33:01 +0900] "GET /bioral/png/tes1_tori.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2018:14:33:01 +0900] "GET /bioral/png/02.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2018:14:33:01 +0900] "GET /bioral/png/tes3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2018:14:33:01 +0900] "GET /bioral/png/tes5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2018:14:33:01 +0900] "GET /bioral/js/home.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2018:14:33:01 +0900] "GET /bioral/png/japmap.png HTTP/1.1" 304 -
